taskId,sourceNodeId,destNodeId,dataSize(Byte),opType,priority,delay,phaseId,dependOnPhases,taskStartTime(us),taskCompletesTime(us),firstPacketSends(us),lastPacketACKs(us),taskThroughput(Gbps)
0,0,1,6934583,URMA_WRITE,7,0ns,0,,0.0,148.01868,0.0,0.0,374.795
1,1,2,6934583,URMA_WRITE,7,0ns,1,,0.0,148.01868,0.0,0.0,374.795
2,2,3,6934583,URMA_WRITE,7,0ns,2,,0.0,148.01868,0.0,0.0,374.795
3,3,0,9618937,URMA_WRITE,7,0ns,3,,0.0,198.6725,0.0,0.0,387.3284
4,4,5,6934583,URMA_WRITE,7,0ns,4,,0.0,148.01868,0.0,0.0,374.795
5,5,6,6934583,URMA_WRITE,7,0ns,5,,0.0,148.01868,0.0,0.0,374.795
6,6,7,6934583,URMA_WRITE,7,0ns,6,,0.0,148.01868,0.0,0.0,374.795
7,7,4,9618937,URMA_WRITE,7,0ns,7,,0.0,198.6725,0.0,0.0,387.3284
8,8,9,6934583,URMA_WRITE,7,0ns,8,,0.0,148.01868,0.0,0.0,374.795
9,9,10,6934583,URMA_WRITE,7,0ns,9,,0.0,148.01868,0.0,0.0,374.795
10,10,11,6934583,URMA_WRITE,7,0ns,10,,0.0,148.01868,0.0,0.0,374.795
11,11,8,9618937,URMA_WRITE,7,0ns,11,,0.0,198.6725,0.0,0.0,387.3284
12,12,13,6934583,URMA_WRITE,7,0ns,12,,0.0,148.01868,0.0,0.0,374.795
13,13,14,6934583,URMA_WRITE,7,0ns,13,,0.0,148.01868,0.0,0.0,374.795
14,14,15,6934583,URMA_WRITE,7,0ns,14,,0.0,148.01868,0.0,0.0,374.795
15,15,12,9618937,URMA_WRITE,7,0ns,15,,0.0,198.6725,0.0,0.0,387.3284
16,0,2,7158279,URMA_WRITE,7,0ns,16,,0.0,153.44044,0.0,0.0,373.2147
17,1,3,7158279,URMA_WRITE,7,0ns,17,,0.0,153.44044,0.0,0.0,373.2147
18,2,0,9842633,URMA_WRITE,7,0ns,18,,0.0,203.16188,0.0,0.0,387.5779
19,3,1,9842633,URMA_WRITE,7,0ns,19,,0.0,203.16188,0.0,0.0,387.5779
20,4,6,7158279,URMA_WRITE,7,0ns,20,,0.0,153.44044,0.0,0.0,373.2147
21,5,7,7158279,URMA_WRITE,7,0ns,21,,0.0,153.44044,0.0,0.0,373.2147
22,6,4,9842633,URMA_WRITE,7,0ns,22,,0.0,203.16188,0.0,0.0,387.5779
23,7,5,9842633,URMA_WRITE,7,0ns,23,,0.0,203.16188,0.0,0.0,387.5779
24,8,10,7158279,URMA_WRITE,7,0ns,24,,0.0,153.44044,0.0,0.0,373.2147
25,9,11,7158279,URMA_WRITE,7,0ns,25,,0.0,153.44044,0.0,0.0,373.2147
26,10,8,9842633,URMA_WRITE,7,0ns,26,,0.0,203.16188,0.0,0.0,387.5779
27,11,9,9842633,URMA_WRITE,7,0ns,27,,0.0,203.16188,0.0,0.0,387.5779
28,12,14,7158279,URMA_WRITE,7,0ns,28,,0.0,153.44044,0.0,0.0,373.2147
29,13,15,7158279,URMA_WRITE,7,0ns,29,,0.0,153.44044,0.0,0.0,373.2147
30,14,12,9842633,URMA_WRITE,7,0ns,30,,0.0,203.16188,0.0,0.0,387.5779
31,15,13,9842633,URMA_WRITE,7,0ns,31,,0.0,203.16188,0.0,0.0,387.5779
32,0,3,7381975,URMA_WRITE,7,0ns,32,,0.0,157.52494,0.0,0.0,374.8981
33,1,0,10066330,URMA_WRITE,7,0ns,33,,0.0,207.65126,0.0,0.0,387.8168
34,2,1,10066330,URMA_WRITE,7,0ns,34,,0.0,207.65126,0.0,0.0,387.8168
35,3,2,10066330,URMA_WRITE,7,0ns,35,,0.0,207.65126,0.0,0.0,387.8168
36,4,7,7381975,URMA_WRITE,7,0ns,36,,0.0,157.52494,0.0,0.0,374.8981
37,5,4,10066330,URMA_WRITE,7,0ns,37,,0.0,207.65126,0.0,0.0,387.8168
38,6,5,10066330,URMA_WRITE,7,0ns,38,,0.0,207.65126,0.0,0.0,387.8168
39,7,6,10066330,URMA_WRITE,7,0ns,39,,0.0,207.65126,0.0,0.0,387.8168
40,8,11,7381975,URMA_WRITE,7,0ns,40,,0.0,157.52494,0.0,0.0,374.8981
41,9,8,10066330,URMA_WRITE,7,0ns,41,,0.0,207.65126,0.0,0.0,387.8168
42,10,9,10066330,URMA_WRITE,7,0ns,42,,0.0,207.65126,0.0,0.0,387.8168
43,11,10,10066330,URMA_WRITE,7,0ns,43,,0.0,207.65126,0.0,0.0,387.8168
44,12,15,7381975,URMA_WRITE,7,0ns,44,,0.0,157.52494,0.0,0.0,374.8981
45,13,12,10066330,URMA_WRITE,7,0ns,45,,0.0,207.65126,0.0,0.0,387.8168
46,14,13,10066330,URMA_WRITE,7,0ns,46,,0.0,207.65126,0.0,0.0,387.8168
47,15,14,10066330,URMA_WRITE,7,0ns,47,,0.0,207.65126,0.0,0.0,387.8168
48,0,12,9395241,URMA_WRITE,7,0ns,48,,0.0,216.70508,0.0,0.0,346.8397
49,1,13,9395241,URMA_WRITE,7,0ns,49,,0.0,216.70508,0.0,0.0,346.8397
50,2,14,9395241,URMA_WRITE,7,0ns,50,,0.0,216.70508,0.0,0.0,346.8397
51,3,15,9395241,URMA_WRITE,7,0ns,51,,0.0,216.70508,0.0,0.0,346.8397
52,4,8,7605671,URMA_WRITE,7,0ns,52,,0.0,163.03598,0.0,0.0,373.2021
53,5,9,7605671,URMA_WRITE,7,0ns,53,,0.0,163.03598,0.0,0.0,373.2021
54,6,10,7605671,URMA_WRITE,7,0ns,54,,0.0,163.03598,0.0,0.0,373.2021
55,7,11,7605671,URMA_WRITE,7,0ns,55,,0.0,163.03598,0.0,0.0,373.2021
56,8,4,9395241,URMA_WRITE,7,0ns,56,,0.0,216.87762,0.0,0.0,346.5638
57,9,5,9395241,URMA_WRITE,7,0ns,57,,0.0,216.87762,0.0,0.0,346.5638
58,10,6,9395241,URMA_WRITE,7,0ns,58,,0.0,216.87762,0.0,0.0,346.5638
59,11,7,9395241,URMA_WRITE,7,0ns,59,,0.0,216.87762,0.0,0.0,346.5638
60,12,0,7605671,URMA_WRITE,7,0ns,60,,0.0,163.03558,0.0,0.0,373.203
61,13,1,7605671,URMA_WRITE,7,0ns,61,,0.0,163.03558,0.0,0.0,373.203
62,14,2,7605671,URMA_WRITE,7,0ns,62,,0.0,163.03558,0.0,0.0,373.203
63,15,3,7605671,URMA_WRITE,7,0ns,63,,0.0,163.03558,0.0,0.0,373.203
64,0,8,8500456,URMA_WRITE,7,0ns,64,,0.0,176.30644,0.0,0.0,385.7128
65,1,9,8500456,URMA_WRITE,7,0ns,65,,0.0,176.30644,0.0,0.0,385.7128
66,2,10,8500456,URMA_WRITE,7,0ns,66,,0.0,176.30644,0.0,0.0,385.7128
67,3,11,8500456,URMA_WRITE,7,0ns,67,,0.0,176.30644,0.0,0.0,385.7128
68,4,12,8500456,URMA_WRITE,7,0ns,68,,0.0,176.30644,0.0,0.0,385.7128
69,5,13,8500456,URMA_WRITE,7,0ns,69,,0.0,176.30644,0.0,0.0,385.7128
70,6,14,8500456,URMA_WRITE,7,0ns,70,,0.0,176.30644,0.0,0.0,385.7128
71,7,15,8500456,URMA_WRITE,7,0ns,71,,0.0,176.30644,0.0,0.0,385.7128
72,8,0,8500456,URMA_WRITE,7,0ns,72,,0.0,176.30708,0.0,0.0,385.7114
73,9,1,8500456,URMA_WRITE,7,0ns,73,,0.0,176.30708,0.0,0.0,385.7114
74,10,2,8500456,URMA_WRITE,7,0ns,74,,0.0,176.30708,0.0,0.0,385.7114
75,11,3,8500456,URMA_WRITE,7,0ns,75,,0.0,176.30708,0.0,0.0,385.7114
76,12,4,8500456,URMA_WRITE,7,0ns,76,,0.0,176.30708,0.0,0.0,385.7114
77,13,5,8500456,URMA_WRITE,7,0ns,77,,0.0,176.30708,0.0,0.0,385.7114
78,14,6,8500456,URMA_WRITE,7,0ns,78,,0.0,176.30708,0.0,0.0,385.7114
79,15,7,8500456,URMA_WRITE,7,0ns,79,,0.0,176.30708,0.0,0.0,385.7114
80,0,4,7605671,URMA_WRITE,7,0ns,80,,0.0,163.03598,0.0,0.0,373.2021
81,1,5,7605671,URMA_WRITE,7,0ns,81,,0.0,163.03598,0.0,0.0,373.2021
82,2,6,7605671,URMA_WRITE,7,0ns,82,,0.0,163.03598,0.0,0.0,373.2021
83,3,7,7605671,URMA_WRITE,7,0ns,83,,0.0,163.03598,0.0,0.0,373.2021
84,4,0,9395241,URMA_WRITE,7,0ns,84,,0.0,195.1355,0.0,0.0,385.1781
85,5,1,9395241,URMA_WRITE,7,0ns,85,,0.0,195.1355,0.0,0.0,385.1781
86,6,2,9395241,URMA_WRITE,7,0ns,86,,0.0,195.1355,0.0,0.0,385.1781
87,7,3,9395241,URMA_WRITE,7,0ns,87,,0.0,195.1355,0.0,0.0,385.1781
88,8,12,7605671,URMA_WRITE,7,0ns,88,,0.0,163.03598,0.0,0.0,373.2021
89,9,13,7605671,URMA_WRITE,7,0ns,89,,0.0,163.03598,0.0,0.0,373.2021
