taskId,sourceNodeId,destNodeId,dataSize(Byte),opType,priority,delay,phaseId,dependOnPhases,taskStartTime(us),taskCompletesTime(us),firstPacketSends(us),lastPacketACKs(us),taskThroughput(Gbps)
0,0,1,1118481,URMA_WRITE,7,0ns,0,,0.0,28.44828,0.0,0.0,314.5304
1,1,2,1118481,URMA_WRITE,7,0ns,1,,0.0,28.44828,0.0,0.0,314.5304
2,2,3,1118481,URMA_WRITE,7,0ns,2,,0.0,28.44828,0.0,0.0,314.5304
3,3,0,14540254,URMA_WRITE,7,0ns,3,,0.0,297.7349,0.0,0.0,390.6899
4,4,5,1118481,URMA_WRITE,7,0ns,4,,0.0,28.44828,0.0,0.0,314.5304
5,5,6,1118481,URMA_WRITE,7,0ns,5,,0.0,28.44828,0.0,0.0,314.5304
6,6,7,1118481,URMA_WRITE,7,0ns,6,,0.0,28.44828,0.0,0.0,314.5304
7,7,4,14540254,URMA_WRITE,7,0ns,7,,0.0,297.7349,0.0,0.0,390.6899
8,8,9,1118481,URMA_WRITE,7,0ns,8,,0.0,28.44828,0.0,0.0,314.5304
9,9,10,1118481,URMA_WRITE,7,0ns,9,,0.0,28.44828,0.0,0.0,314.5304
10,10,11,1118481,URMA_WRITE,7,0ns,10,,0.0,28.44828,0.0,0.0,314.5304
11,11,8,14540254,URMA_WRITE,7,0ns,11,,0.0,297.7349,0.0,0.0,390.6899
12,12,13,1118481,URMA_WRITE,7,0ns,12,,0.0,28.44828,0.0,0.0,314.5304
13,13,14,1118481,URMA_WRITE,7,0ns,13,,0.0,28.44828,0.0,0.0,314.5304
14,14,15,1118481,URMA_WRITE,7,0ns,14,,0.0,28.44828,0.0,0.0,314.5304
15,15,12,14540254,URMA_WRITE,7,0ns,15,,0.0,297.7349,0.0,0.0,390.6899
16,0,2,2236962,URMA_WRITE,7,0ns,16,,0.0,51.5453,0.0,0.0,347.1839
17,1,3,2236962,URMA_WRITE,7,0ns,17,,0.0,51.5453,0.0,0.0,347.1839
18,2,0,15658735,URMA_WRITE,7,0ns,18,,0.0,320.1821,0.0,0.0,391.2457
19,3,1,15658735,URMA_WRITE,7,0ns,19,,0.0,320.1821,0.0,0.0,391.2457
20,4,6,2236962,URMA_WRITE,7,0ns,20,,0.0,51.5453,0.0,0.0,347.1839
21,5,7,2236962,URMA_WRITE,7,0ns,21,,0.0,51.5453,0.0,0.0,347.1839
22,6,4,15658735,URMA_WRITE,7,0ns,22,,0.0,320.1821,0.0,0.0,391.2457
23,7,5,15658735,URMA_WRITE,7,0ns,23,,0.0,320.1821,0.0,0.0,391.2457
24,8,10,2236962,URMA_WRITE,7,0ns,24,,0.0,51.5453,0.0,0.0,347.1839
25,9,11,2236962,URMA_WRITE,7,0ns,25,,0.0,51.5453,0.0,0.0,347.1839
26,10,8,15658735,URMA_WRITE,7,0ns,26,,0.0,320.1821,0.0,0.0,391.2457
27,11,9,15658735,URMA_WRITE,7,0ns,27,,0.0,320.1821,0.0,0.0,391.2457
28,12,14,2236962,URMA_WRITE,7,0ns,28,,0.0,51.5453,0.0,0.0,347.1839
29,13,15,2236962,URMA_WRITE,7,0ns,29,,0.0,51.5453,0.0,0.0,347.1839
30,14,12,15658735,URMA_WRITE,7,0ns,30,,0.0,320.1821,0.0,0.0,391.2457
